                           Nonce      #Sol.     Time/s
87d50b1be4be41434125d86d29c226bd          0   1.355136
f2c0ebf05438dfc66d3a2befe6bc1723          2   1.780874
3a0419080336064461bdc5c59f6ac6f7          3   1.543221
70510509c52ccf9f5100c1f458bbb736          5   1.606826
a9cc7aa2aad5312778f58421eb38c0ed          1   1.347546
b2e674915f1f6a8c7963751c66160164          2   1.599634
4f31aadf2e1305a7bbd0c251b10deb0e         14   2.092084
3d6a6aeab4db97e844aeb00a31c79cad          1   1.401098
6b78b9df091f976326cf1bb873560840          1   1.607654
4a9932fbe9fe050b0d488d9fa09e02ff          2   1.489161
cd29c2c785f60d5b84226df0bc9b45f0          2   1.755085
7a69f1f37d938b575b3315870d745791          0   1.597431
7eceb490cc58757e117df25bee222bdd          2   1.763629
fbe1ebbe2bd3aa6b7c9037a38a9d88c4          1   1.659364
0716da04ee2d9f87d970b6ab1aba2690          1   1.473082
5b52656674ae8f3f4c2b6c057650b648          1   1.558425
f3954a8731c621578d09259db59b0b51          8   1.831592
9665013c5e64f4f440b8641a1529b2d5          4   1.916814
de372e618e72b430b25d2aca40fd7942          0   1.599973
ba7253ea7b8675a63cd732446438517f          8   2.197037
bb5a1d4820596a649344d3711b45f357          0   1.373642
d3ab3b974a218b83004ffc53e06a5bf4          1   1.650141
b53f6c1e9b0563f0b9fe6c9ad7e32622          1   1.706028
3e297219170fffa9c194b01cc3cb6478          1   1.703413
2876b68b1dff7fcb282c75d2b6c07b10          0   1.488620
b801cbdcbebbc6dd6673ff7d7f4b729c          2   1.492416
45afd55d9ac81b44a0362caaa773f122          2   1.680602
b5c14c47998f5c3933435957bcc023c3          4   1.998255
4226d9bd4b8d6ddbe440a185ec1e2831          0   1.444221
e317ea9627aed7d1bac6d7064a1d1c31          4   1.876656
51d8967fe72fe3438e84a3956298e852          4   1.889860
8b82f2bb0f919a11b3c5b22a61e72368          0   1.508657
679c490c7efa61ebef7d1bc3b8d3ae31         14   2.571474
7c47c05ac6f0f697bfec090d7c2d0766          1   1.728774
214c50756943c0ba4b7e880dcf0c14b9          4   1.738752
